US HY,US HY OAS,US HY OAD,US HY WARF,US HY Ratio of MV,US HY M Total Return,US HY M Excess Return,US HY Tr Series Total Return,US HY Tr Series Excess Return,US HY Trl 12M TR,US HY Trl 12M ER,HY DIFF,Fallen OAS,Fallen OAD,Fallen WARF,Fallen Ratio of MV,Fallen M Total Return,Fallen M Excess Return,Fallen Tr Series Total Return,Fallen Tr Series Excess Return,Fallen Trl 12M TR,Fallen Trl 12M ER,Diff,Warf Diff,HY OAS,OAS Diff,TR Diff,ER Diff
6/30/1997,234.1911945,4.384321616,2511.954598,1,2.739341936,0.058435829,1.027393419,1.000584358,8.785036168,1.125060191,-0.090523771,98.43438851,5.700342102,1351.702971,0.028114289,3.368725534,-0.090523771,1.033687255,0.999094762,9.386258395,1.02241314,-0.1489596,1160.251627,-91.09487727,-135.756806,0.601222227,-0.102647051
7/31/1997,238.945036,4.275868411,2545.137267,1,-0.243404847,0.625331102,1.024892694,1.006841323,2.915846747,-7.875161704,0.343662129,108.4176826,5.787260424,1133.40809,0.030604669,-1.073797657,0.343662129,1.022587546,1.002528273,7.955306888,-4.799652361,-0.281668973,1411.729177,-85.64566417,-130.5273534,5.039460141,3.075509343
8/29/1997,238.4924431,4.34236916,2546.640588,1,1.990784531,0.57078973,1.045296099,1.01258827,1.393197702,-11.06299358,0.106530071,99.11014817,5.644548827,1102.027493,0.030345317,1.802861397,0.106530071,1.041023382,1.003596267,9.359670159,-5.212332641,-0.464259659,1444.613095,-267.2151815,-139.3822949,7.966472457,5.850660935
9/30/1997,229.2480582,4.188208814,2566.289024,1,0.160086308,-1.3898877,1.046969475,0.998514431,-0.840358665,-11.50577005,-1.105226986,113.4760658,5.803076472,1097.996259,0.029817324,0.845726306,-1.105226986,1.049827591,0.99250425,4.956543036,-6.80002881,0.284660714,1468.292765,-337.3920642,-115.7719924,5.796901701,4.705741236
10/31/1997,234.5784302,4.14510246,2547.356658,1,0.93120357,0.64446713,1.056718892,1.004949528,2.448351001,-7.850148182,-0.049076333,110.3447616,5.647029651,1119.201237,0.028369882,0.423884912,-0.049076333,1.054277651,0.992017165,6.887748499,-4.357494746,-0.693543463,1428.155421,-369.8233251,-124.2336686,4.439397498,3.492653435
11/26/1997,263.375609,4.227359288,2503.627587,1,0.847047328,-0.13628485,1.065669801,1.003579934,1.565383103,-8.089183221,0.414922739,133.8650871,5.380330896,1110.444963,0.029399713,1.522103246,0.414922739,1.070324846,0.99613327,5.536876197,-4.813608484,0.55120759,1393.182625,-257.6579113,-129.5105218,3.971493094,3.275574737
12/31/1997,265.8063789,4.215957838,2554.540801,1,1.66633376,0.101383261,1.083427417,1.004597396,1.446679955,-7.205486771,-0.467673542,128.4611607,5.361212111,1290.819238,0.029215575,1.205932582,-0.467673542,1.083232242,0.991474618,5.91271082,-3.35601435,-0.569056803,1263.721563,-263.7895593,-137.3452182,4.466030866,3.849472421
1/30/1998,45.66608272,4.3838634,2697.001533,1,0.569367326,0.85451394,1.089596099,1.013181821,0.295745414,-6.215253527,0.549473621,107.2378245,5.445270854,1415.455178,0.024303862,0.172563136,0.549473621,1.085101501,0.99692251,3.701790821,-2.860399704,-0.305040319,1281.546355,-472.7305626,61.57174177,3.406045407,3.354853823
2/27/1998,264.6923085,4.370913385,2651.566843,1,0.900555787,0.660252006,1.09940852,1.019871374,0.342218865,-6.483976763,0.797259673,135.5675733,5.344002325,1415.455044,0.023954224,1.020518363,0.797259673,1.096175161,1.004870571,3.520529373,-3.263538988,0.137007667,1236.111799,-213.9682846,-129.1247352,3.178310507,3.220437775
3/31/1998,260.0761072,4.479221751,2638.640819,1,0.413134555,-0.041091062,1.103950556,1.019452298,1.975426345,-4.814730509,0.725576431,164.6244329,5.829069385,1225.877373,0.036735359,1.174430855,0.725576431,1.109048981,1.012161675,3.574737496,-3.019584302,0.766667493,1412.763446,-209.9958237,-95.45167432,1.599311151,1.795146207
4/30/1998,266.5585915,4.559471519,2607.91977,1,0.384883977,-0.478068788,1.108199485,1.014578615,0.210975682,-4.460834568,0.009124777,169.6750879,5.749478581,1089.394103,0.043310332,0.909126249,0.009124777,1.119131636,1.012254032,1.495038393,-2.85711175,0.487193565,1518.525667,-177.1093445,-96.88350364,1.284062712,1.603722818
5/29/1998,295.9205598,4.571112705,2727.928164,1,0.33024575,-0.504019168,1.111859267,1.009464944,-0.352214639,-4.193682348,-0.253179417,187.934931,5.798297775,1195.719809,0.03918371,0.925918603,-0.253179417,1.129493884,1.009691214,0.087451023,-2.868574564,0.250839751,1532.208356,-161.7614894,-107.9856289,0.439665662,1.325107784
6/30/1998,325.2860718,4.545459988,2817.303221,1,0.520842565,0.23543071,1.117650303,1.011841535,-0.468802622,-3.829129237,-0.037791273,207.5928355,5.855227001,1318.686282,0.040585216,0.107829545,-0.037791273,1.130711812,1.009309638,0.728356938,-1.867160392,-0.273221982,1498.616939,-139.7096964,-117.6932364,1.19715956,1.961968845
7/31/1998,324.5907001,4.540532982,2863.398463,1,-5.625490229,-8.330414452,1.054776994,0.927550941,4.274188922,3.68310319,-5.439285984,202.0690881,5.748964365,1260.925262,0.040971491,-2.36791449,-5.439285984,1.103937523,0.954410401,1.99788992,2.644817206,2.891128467,1602.473202,-131.312907,-122.521612,-2.276299002,-1.038285983
8/31/1998,505.7076246,4.791014709,2755.543875,1,0.481821864,-2.909300709,1.05985914,0.900565695,2.982413433,4.989194322,-0.327417829,298.8966401,5.597616361,1306.389388,0.048887928,3.127189061,-0.327417829,1.138459737,0.951285491,-1.141853272,2.0579078,2.58188288,1449.154486,23.36197413,-206.8109845,-4.124266705,-2.931286522
9/30/1998,566.6401223,4.786633502,2749.739348,1,-2.046306267,-1.880822118,1.038171176,0.883627656,4.469648269,6.273306863,-2.761717294,311.5978234,5.615224448,1336.417034,0.051031644,-3.214605553,-2.761717294,1.101862747,0.925013675,2.710313365,5.489832209,-0.880895176,1413.322314,51.21904196,-255.042299,-1.759334904,-0.783474654
10/30/1998,604.4017553,4.810990228,2726.915346,1,4.27866853,4.802005027,1.08259108,0.926059501,1.416213077,2.74898544,2.570383015,369.5812676,5.50001389,1362.88706,0.052061768,2.271689247,2.570383015,1.126893644,0.948790069,1.522329322,4.192373638,-2.231622011,1364.028286,78.46982182,-234.8204877,0.106116245,1.443388197
11/30/1998,521.0335203,4.671008016,2781.537266,1,-0.022119473,-0.395329511,1.082351616,0.922398514,2.555324761,4.993785156,-0.063950389,345.99678,5.613360022,1346.789139,0.05122226,0.239043221,-0.063950389,1.129587407,0.948183314,2.381332042,6.249222895,0.331379122,1434.748127,21.02902864,-175.0367403,-0.173992718,1.25543774
12/31/1998,529.5959382,4.676558092,2761.276706,1,1.547512627,1.063829686,1.099101144,0.932211263,0.563431812,3.788847268,1.056470118,345.550759,5.694552792,1355.010617,0.056892387,1.566343984,1.056470118,1.147280632,0.958200588,0.610829395,5.043335819,-0.007359568,1406.266089,65.07627914,-184.0451792,0.047397583,1.254488551
1/29/1999,518.3966453,4.646166274,2817.777201,1,-0.571613912,1.930757449,1.092818529,0.950210002,1.393830395,1.138915664,1.065116591,329.4077673,5.689278247,1405.699703,0.056001035,-1.918531705,1.065116591,1.125269689,0.968406541,3.379560473,3.414279753,-0.865640858,1412.077498,41.47154995,-188.988878,1.985730077,2.275364089
2/26/1999,478.6605931,4.644811895,2822.130069,1,0.947309486,0.371828252,1.103170903,0.953743151,-1.551530775,-3.28426996,0.378940729,315.7011784,5.44141,1389.401637,0.056305918,0.843943538,0.378940729,1.13476633,0.972076228,1.10634403,-0.79130229,0.007112477,1432.728432,-18.55207896,-162.9594147,2.657874805,2.492967671
3/31/1999,470.0719309,4.744629585,2785.197795,1,2.047496285,1.743159684,1.125758286,0.970368417,-3.388857628,-4.425864302,0.97959106,331.4569574,5.479679915,1529.056996,0.061177585,1.227410453,0.97959106,1.14869457,0.9815986,0.542053284,-0.642508995,-0.763568624,1256.140799,-109.1558422,-138.6149735,3.930910912,3.783355308
4/30/1999,443.667936,4.69469118,2835.817509,1,-1.352046002,-0.10804927,1.110537516,0.969319941,-3.105741167,-5.750813555,0.176671365,324.3290639,5.470195531,1597.54084,0.060613994,-1.11704948,0.176671365,1.135863084,0.983332804,2.778702397,-0.058124531,0.284720635,1238.276669,-126.0853224,-119.3388722,5.884443564,5.692689024
5/28/1999,457.6820492,4.773130375,2849.313248,1,-0.233614873,-0.225802669,1.107943135,0.967131191,-0.906374058,-5.398744346,-0.264949494,324.1791519,5.470076199,1582.499897,0.059257023,-0.47377591,-0.264949494,1.130481638,0.980727468,5.968952748,0.886683965,-0.039146824,1266.813351,-148.4767869,-133.5028973,6.875326806,6.285428311
6/30/1999,464.9957683,4.802688135,2847.282576,1,0.403233105,0.616837062,1.112410729,0.973096815,-0.71952675,-6.003442665,0.99280796,337.7496059,5.692559213,1745.296126,0.056754399,0.748865953,0.99280796,1.13894743,0.990464209,5.573802167,-0.47993801,0.375970898,1101.98645,-135.6731001,-127.2461623,6.293328918,5.523504654
7/30/1999,455.9036071,4.776097571,2833.814507,1,-1.128231946,-1.169792659,1.099860156,0.961713599,1.088480092,-5.608824273,-1.09154852,320.0497004,5.720850841,1744.02216,0.056607405,-1.137405462,-1.09154852,1.12599298,0.979652811,8.458148452,0.621919549,0.078244139,1089.792347,-135.8890404,-135.8539068,7.369668361,6.230743821
8/31/1999,482.3456504,4.79722595,2838.096857,1,-0.762972806,-1.686253776,1.091468522,0.945496668,0.921976011,-5.613438185,-0.89733239,348.4260263,5.641444318,1727.764392,0.058181841,-0.047316706,-0.89733239,1.125460197,0.970862069,10.54763925,2.908670878,0.788921386,1110.332465,-125.2487437,-133.9196242,9.625663237,8.522109062
9/30/1999,515.4210804,4.81943439,2797.560454,1,-0.631694386,-0.680736075,1.084573776,0.939060331,-1.70414606,-8.809126598,0.508136489,369.1059161,5.633099914,1765.794434,0.05574729,0.556792959,0.508136489,1.13172668,0.975795374,6.678820078,-1.540780156,1.188872564,1031.766019,-119.2063467,-146.3151642,8.382966138,7.268346442
10/29/1999,525.9319335,4.77530813,2758.002078,1,1.230815288,1.326476106,1.097922876,0.951516742,-6.789750105,-15.42510276,1.308831832,367.0214041,5.617313646,1803.954261,0.055640506,1.088778487,1.308831832,1.144048677,0.988566894,6.389349635,-4.050700057,-0.017644274,954.0478169,-192.5633022,-158.9105294,13.17909974,11.37440271
11/30/1999,500.0044917,4.736303984,2750.45883,1,1.100836792,1.780775051,1.110009215,0.968461114,-6.130929433,-17.09585695,1.908875282,387.5645977,5.736524446,1770.092938,0.056675004,1.087187776,1.908875282,1.156486634,1.007437403,2.764955718,-10.03315186,0.128100231,980.365892,-318.9700878,-112.4398939,8.895885151,7.062705086
12/31/1999,464.519659,4.695482631,2735.698032,1,-0.424805971,-0.096006939,1.10529383,0.967531324,1.273716137,-11.82031766,-0.090481248,359.5512051,5.78529645,1916.84667,0.054078616,-0.190064898,-0.090481248,1.154288559,1.006525861,15.50107649,0.008671708,0.005525692,818.8513617,-366.4827815,-104.968454,14.22736035,11.82898937
1/31/2000,476.9250954,4.676880951,2766.666947,1,0.249412075,-0.671733499,1.108050566,0.961032092,-1.551277968,-14.11386881,-0.502243584,371.7160186,5.764512271,1986.059542,0.054771336,0.78059334,-0.502243584,1.163298859,1.00147065,14.9035125,0.112851882,0.169489915,780.6074042,-241.926818,-105.2090768,16.45479046,14.22672069
2/29/2000,497.2126721,4.643347931,2815.129981,1,-1.985080823,-4.017809751,1.086054867,0.922419651,-1.144172155,-12.55455735,-3.703202198,460.252388,5.562935962,1910.872342,0.057763422,-1.373517143,-3.703202198,1.147320749,0.964384167,16.80898008,3.530861067,0.314607554,904.2576397,-224.6448471,-36.96028404,17.95315223,16.08541841
