Date,Class,OAS,WARF,ER_M,Trl_12M_ER
6/30/1997,HY,234.1911945,2511.954598,0.058435829,1.125060191
7/31/1997,HY,238.945036,2545.137267,0.625331102,-7.875161704
8/29/1997,HY,238.4924431,2546.640588,0.57078973,-11.06299358
9/30/1997,HY,229.2480582,2566.289024,-1.3898877,-11.50577005
10/31/1997,HY,234.5784302,2547.356658,0.64446713,-7.850148182
11/26/1997,HY,263.375609,2503.627587,-0.13628485,-8.089183221
12/31/1997,HY,265.8063789,2554.540801,0.101383261,-7.205486771
1/30/1998,HY,45.66608272,2697.001533,0.85451394,-6.215253527
2/27/1998,HY,264.6923085,2651.566843,0.660252006,-6.483976763
3/31/1998,HY,260.0761072,2638.640819,-0.041091062,-4.814730509
4/30/1998,HY,266.5585915,2607.91977,-0.478068788,-4.460834568
5/29/1998,HY,295.9205598,2727.928164,-0.504019168,-4.193682348
6/30/1998,HY,325.2860718,2817.303221,0.23543071,-3.829129237
7/31/1998,HY,324.5907001,2863.398463,-8.330414452,3.68310319
8/31/1998,HY,505.7076246,2755.543875,-2.909300709,4.989194322
9/30/1998,HY,566.6401223,2749.739348,-1.880822118,6.273306863
10/30/1998,HY,604.4017553,2726.915346,4.802005027,2.74898544
11/30/1998,HY,521.0335203,2781.537266,-0.395329511,4.993785156
12/31/1998,HY,529.5959382,2761.276706,1.063829686,3.788847268
1/29/1999,HY,518.3966453,2817.777201,1.930757449,1.138915664
2/26/1999,HY,478.6605931,2822.130069,0.371828252,-3.28426996
3/31/1999,HY,470.0719309,2785.197795,1.743159684,-4.425864302
4/30/1999,HY,443.667936,2835.817509,-0.10804927,-5.750813555
5/28/1999,HY,457.6820492,2849.313248,-0.225802669,-5.398744346
6/30/1999,HY,464.9957683,2847.282576,0.616837062,-6.003442665
7/30/1999,HY,455.9036071,2833.814507,-1.169792659,-5.608824273
8/31/1999,HY,482.3456504,2838.096857,-1.686253776,-5.613438185
9/30/1999,HY,515.4210804,2797.560454,-0.680736075,-8.809126598
10/29/1999,HY,525.9319335,2758.002078,1.326476106,-15.42510276
11/30/1999,HY,500.0044917,2750.45883,1.780775051,-17.09585695
12/31/1999,HY,464.519659,2735.698032,-0.096006939,-11.82031766
1/31/2000,HY,476.9250954,2766.666947,-0.671733499,-14.11386881
2/29/2000,HY,497.2126721,2815.129981,-4.017809751,-12.55455735
3/31/2000,HY,579.2277731,2791.934647,0.542223545,-13.4762612
4/28/2000,HY,569.7532585,2794.878315,-1.492856619,-10.89943149
5/31/2000,HY,606.1588362,2809.274295,0.146905299,-13.98753416
6/30/2000,HY,600.6688683,2876.03612,-0.026313304,-14.7343064
7/31/2000,HY,591.7926476,2744.188914,-0.754881532,-13.99486535
8/31/2000,HY,607.5943941,2739.498995,-1.691059426,-19.98626974
9/29/2000,HY,634.6274271,2680.408445,-4.043433209,-16.30220273
10/31/2000,HY,718.4952357,2666.628489,-6.024846737,-6.291903933
11/30/2000,HY,818.9745794,2620.90407,-0.229876591,-5.698283268
